Distance (arcsec),COMA-TEMPERATURE,sigma-COMA-TEMPERATURE,COMA-CH4[CH4],sigma-COMA-CH4[CH4]
0.04999954280897312,47.36,4.417,0.29875,0.02036
0.14999862842691936,42.39,0.98178,1.0364,0.033428
0.2499977140448656,44.026,0.96436,1.1521,0.03521
0.34999679966281183,43.942,1.6705,1.1597,0.0364
0.44999588528075807,45.053,1.8096,1.1725,0.038
0.5499949708987043,45.412,1.9554,1.1708,0.04118
0.6499940565166505,46.246,2.003,1.1818,0.040977
0.7499931421345968,45.864,2.1137,1.2014,0.044038
0.849992227752543,46.137,2.1288,1.1947,0.04416
0.9499913133704894,45.916,2.1189,1.1639,0.042655
1.0499903989884354,46.287,2.1993,1.1699,0.044681
1.1499894846063818,47.168,2.3998,1.1784,0.046709
1.2499885702243279,46.017,2.0873,1.1937,0.043009
1.3499876558422743,47.042,2.1402,1.1977,0.042029
1.4499867414602203,46.626,2.0204,1.2047,0.040237
1.5499858270781668,46.059,2.0277,1.1993,0.042306
1.6499849126961128,46.418,2.2115,1.2013,0.045865
1.7499839983140593,47.754,2.3443,1.1943,0.043744
1.8499830839320055,47.868,2.3358,1.1912,0.043704
1.9499821695499515,47.875,2.3021,1.176,0.043098
2.049981255167898,47.467,2.9939,1.1925,0.042689
2.149980340785844,48.452,4.3243,1.1562,0.048753
2.2499794264037907,50.421,7.6736,1.0777,0.057816
