X-Index,Y-Index,X-Offset,Y-Offset,COMA-TEMPERATURE,sigma-COMA-TEMPERATURE,COMA-CH4[CH4],sigma-COMA-CH4[CH4]
21,17,-0.7999926849435699,-0.7999926849435699,53.38,37.966,1.1445,0.15418
21,18,-0.7999926849435699,-0.6999935993256237,42.033,3.2826,1.0317,0.063507
21,19,-0.7999926849435699,-0.5999945137076774,44.62,3.7984,0.998,0.060851
21,20,-0.7999926849435699,-0.4999954280897312,45.553,3.2859,1.2399,0.068675
21,21,-0.7999926849435699,-0.3999963424717849,45.994,2.7056,1.1635,0.052324
21,22,-0.7999926849435699,-0.2999972568538387,46.125,2.8546,1.0618,0.0486
21,23,-0.7999926849435699,-0.1999981712358924,46.015,3.5735,1.0297,0.052195
21,24,-0.7999926849435699,-0.0999990856179462,45.764,2.8692,1.1173,0.052778
21,25,-0.7999926849435699,0.0,51.405,13.271,1.1617,0.073783
21,26,-0.7999926849435699,0.0999990856179462,49.867,3.2602,1.1694,0.051276
21,27,-0.7999926849435699,0.1999981712358924,46.409,2.419,1.1178,0.046337
21,28,-0.7999926849435699,0.2999972568538387,50.816,3.0839,1.062,0.044951
21,29,-0.7999926849435699,0.3999963424717849,47.679,3.3554,0.97866,0.050105
21,30,-0.7999926849435699,0.4999954280897312,46.445,14.109,1.1301,0.099249
21,31,-0.7999926849435699,0.5999945137076774,44.461,17.543,1.0971,0.13074
21,32,-0.7999926849435699,0.6999935993256237,46.441,15.372,1.103,0.11042
22,17,-0.6999935993256237,-0.7999926849435699,43.457,2.8244,1.1583,0.064808
22,18,-0.6999935993256237,-0.6999935993256237,44.276,2.5896,1.0147,0.04972
22,19,-0.6999935993256237,-0.5999945137076774,41.024,3.131,0.97203,0.062021
22,20,-0.6999935993256237,-0.4999954280897312,46.316,1.3189,1.2519,0.11238
22,21,-0.6999935993256237,-0.3999963424717849,45.632,3.3685,1.0922,0.05871
22,22,-0.6999935993256237,-0.2999972568538387,47.016,3.4509,1.0664,0.052658
22,23,-0.6999935993256237,-0.1999981712358924,44.778,2.2177,1.1612,0.042016
22,24,-0.6999935993256237,-0.0999990856179462,46.77,2.1057,1.2234,0.041248
22,25,-0.6999935993256237,0.0,48.52,3.2339,1.1349,0.052752
22,26,-0.6999935993256237,0.0999990856179462,50.407,11.129,1.1231,0.064265
22,27,-0.6999935993256237,0.1999981712358924,48.428,10.697,1.0849,0.068859
22,28,-0.6999935993256237,0.2999972568538387,47.955,2.8543,1.2037,0.051084
22,29,-0.6999935993256237,0.3999963424717849,49.073,0.74241,1.1527,0.055317
22,30,-0.6999935993256237,0.4999954280897312,47.487,0.44811,1.1653,0.06344
22,31,-0.6999935993256237,0.5999945137076774,46.799,2.7381,1.1515,0.048587
22,32,-0.6999935993256237,0.6999935993256237,51.404,23.358,1.1091,0.1145
23,17,-0.5999945137076774,-0.7999926849435699,43.474,9.1845,1.1125,0.085118
23,18,-0.5999945137076774,-0.6999935993256237,51.404,15.356,1.0652,0.074797
23,19,-0.5999945137076774,-0.5999945137076774,45.373,4.1235,1.1901,0.086177
23,20,-0.5999945137076774,-0.4999954280897312,47.493,3.2953,1.2187,0.065236
23,21,-0.5999945137076774,-0.3999963424717849,44.998,2.3689,1.1319,0.046792
23,22,-0.5999945137076774,-0.2999972568538387,45.457,6.9517,1.1416,0.064714
23,23,-0.5999945137076774,-0.1999981712358924,46.368,2.1487,1.138,0.040505
23,24,-0.5999945137076774,-0.0999990856179462,49.781,3.011,1.1917,0.045111
23,25,-0.5999945137076774,0.0,49.389,0.56435,1.1739,0.035209
23,26,-0.5999945137076774,0.0999990856179462,49.474,0.84633,1.1431,0.050971
23,27,-0.5999945137076774,0.1999981712358924,52.715,3.3599,1.1385,0.04899
23,28,-0.5999945137076774,0.2999972568538387,50.412,7.7737,1.1926,0.057511
23,29,-0.5999945137076774,0.3999963424717849,45.647,2.5645,1.2568,0.053909
23,30,-0.5999945137076774,0.4999954280897312,43.474,6.7957,1.3128,0.091231
23,31,-0.5999945137076774,0.5999945137076774,50.428,2.9485,1.1657,0.094217
23,32,-0.5999945137076774,0.6999935993256237,51.4,16.185,1.1088,0.0871
24,17,-0.4999954280897312,-0.7999926849435699,43.284,2.0158,1.1145,0.041904
24,18,-0.4999954280897312,-0.6999935993256237,45.457,7.5946,1.1719,0.076215
